"AtcoCode","Sequence","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"270000009074",4,"U",555484,357890,"","",,"new"
"270000009075",1,"U",521498,368037,"","",,"new"
"270000009075",2,"U",522212,368037,"","",,"new"
"270000009075",3,"U",522212,367505,"","",,"new"
"270000009075",4,"U",521498,367505,"","",,"new"
"270000009082",1,"U",524327,367882,"","",,"new"
"270000009082",2,"U",524675,367882,"","",,"new"
"270000009082",3,"U",524675,367729,"","",,"new"
"270000009082",4,"U",524327,367729,"","",,"new"
"270000009083",1,"U",550680,361893,"","",,"new"
"270000009083",2,"U",551195,361893,"","",,"new"
"270000009083",3,"U",551195,361389,"","",,"new"
"270000009083",4,"U",550680,361389,"","",,"new"
"270000009085",1,"U",530214,369045,"","",,"new"
"270000009085",2,"U",530517,369045,"","",,"new"
"270000009085",3,"U",530517,368811,"","",,"new"
"270000009085",4,"U",530214,368811,"","",,"new"
"270000009086",1,"U",541492,382089,"","",,"new"
"270000009086",2,"U",541492,382268,"","",,"new"
"270000009086",3,"U",541720,382268,"","",,"new"
"270000009086",4,"U",541720,382089,"","",,"new"
"270000009087",1,"U",533662,371769,"","",,"new"
"270000009087",2,"U",533879,371769,"","",,"new"
"270000009087",3,"U",533879,371474,"","",,"new"
"270000009087",4,"U",533662,371474,"","",,"new"
"270000009089",1,"U",540020,378730,"","",,"new"
"270000009089",2,"U",540370,378730,"","",,"new"
"270000009089",3,"U",540370,378490,"","",,"new"
"270000009089",4,"U",540020,378490,"","",,"new"
"270000009091",1,"U",549140,360205,"","",,"new"
"270000009091",2,"U",550796,360205,"","",,"new"
"270000009091",3,"U",550796,358626,"","",,"new"
"270000009091",4,"U",549140,358626,"","",,"new"
"270000009092",1,"U",538490,372433,"","",,"new"
"270000009092",2,"U",538490,372433,"","",,"new"
"270000009092",3,"U",538778,372211,"","",,"new"
"270000009092",4,"U",538778,372211,"","",,"new"
"270000009094",1,"U",538614,376316,"","",,"new"
"270000009094",2,"U",539413,376316,"","",,"new"
"270000009094",3,"U",539413,375476,"","",,"new"
"270000009094",4,"U",538614,375476,"","",,"new"
"270000009100",1,"U",522939,371742,"","",,"new"
"270000009100",2,"U",523950,371742,"","",,"new"
"270000009100",3,"U",523950,371159,"","",,"new"
"270000009100",4,"U",522939,371159,"","",,"new"
"270000009107",1,"U",541750,364240,"","",,"new"
"270000009107",2,"U",542010,364240,"","",,"new"
"270000009107",3,"U",542510,363110,"","",,"new"
"270000009107",4,"U",542110,363070,"","",,"new"
"270000009111",1,"U",540972,378553,"","",,"new"
"270000009111",2,"U",541473,378553,"","",,"new"
"270000009111",3,"U",541473,378281,"","",,"new"
"270000009111",4,"U",540972,378281,"","",,"new"
"270000009117",1,"U",530906,377211,"","",,"new"
"270000009117",2,"U",531253,377211,"","",,"new"
"270000009117",3,"U",531253,377090,"","",,"new"
"270000009117",4,"U",530906,377090,"","",,"new"
"270000009596",1,"U",527161,379367,"","",,"new"
"270000009596",2,"U",528069,379367,"","",,"new"
"270000009596",3,"U",528069,378119,"","",,"new"
"270000009596",4,"U",527161,378119,"","",,"new"
"270000009655",1,"U",528170,329500,"","",,"new"
"270000009655",2,"U",528160,329120,"","",,"new"
"270000009655",3,"U",527300,328880,"","",,"new"
"270000009655",4,"U",527050,328600,"","",,"new"
"270000009655",5,"U",525460,328380,"","",,"new"
"270000009655",6,"U",525450,328510,"","",,"new"
"270000009655",7,"U",526330,329100,"","",,"new"
"270000009655",8,"U",527250,329110,"","",,"new"
"270000009656",1,"U",523568,386604,"","",,"new"
"270000009656",2,"U",523878,386604,"","",,"new"
"270000009656",3,"U",523878,385915,"","",,"new"
"270000009656",4,"U",523568,385915,"","",,"new"
"270000009763",1,"U",548166,360845,"","",,"new"
"270000009763",2,"U",548518,360845,"","",,"new"
"270000009763",3,"U",548518,360664,"","",,"new"
"270000009763",4,"U",548166,360664,"","",,"new"
"270000010161",1,"U",545713,373815,"","",,"new"
"270000010161",2,"U",546304,373815,"","",,"new"
"270000010161",3,"U",546304,372708,"","",,"new"
"270000010161",4,"U",545713,372708,"","",,"new"
"270000010162",1,"U",521179,396481,"","",,"new"
"270000010162",2,"U",522061,396481,"","",,"new"
"270000010162",3,"U",522061,395888,"","",,"new"
"270000010162",4,"U",521179,395888,"","",,"new"
"270000010543",1,"U",554080,359870,"","",,"new"
"270000010543",2,"U",554419,359870,"","",,"new"
"270000010543",3,"U",554419,359710,"","",,"new"
"270000010543",4,"U",554080,359710,"","",,"new"
"270000010712",1,"U",533429,381756,"","",,"new"
"270000010712",2,"U",533958,381756,"","",,"new"
"270000010712",3,"U",533958,381371,"","",,"new"
"270000010712",4,"U",533429,381371,"","",,"new"
"270000010757",1,"U",524833,390397,"","",,"new"
"270000010757",2,"U",525357,390397,"","",,"new"
"270000010757",3,"U",525357,389841,"","",,"new"
"270000010757",4,"U",524833,389841,"","",,"new"
"270000010917",1,"U",527097,387824,"","",,"new"
"270000010917",2,"U",528118,387824,"","",,"new"
"270000010917",3,"U",528118,386887,"","",,"new"
"270000010917",4,"U",527097,386887,"","",,"new"
"270000013659",1,"U",538223,383795,"","",,"new"
"270000013659",2,"U",538583,383795,"","",,"new"
"270000013659",3,"U",538583,383539,"","",,"new"
"270000013659",4,"U",538223,383539,"","",,"new"
"270000014172",1,"U",516493,369193,"","",,"new"
"270000014172",2,"U",517870,369193,"","",,"new"
"270000014172",3,"U",517870,368457,"","",,"new"
"270000014172",4,"U",516493,368457,"","",,"new"
"270000014450",1,"U",546377,372114,"","",,"new"
"270000014450",2,"U",547495,372114,"","",,"new"
"270000014450",3,"U",547495,371720,"","",,"new"
"270000014450",4,"U",546377,371720,"","",,"new"
"270002700154",1,"U",506092,392865,"","",,"new"
"270002700154",2,"U",506510,392865,"","",,"new"
"270002700154",3,"U",506510,392645,"","",,"new"
"270002700154",4,"U",506092,392645,"","",,"new"
"270002700155",1,"U",498049,393065,"","",,"new"
"270002700155",2,"U",498335,393065,"","",,"new"
"270002700155",3,"U",498335,392880,"","",,"new"
"270002700155",4,"U",498049,392880,"","",,"new"
"270002700157",1,"U",505650,407590,"","",,"new"
"270002700157",2,"U",506220,407590,"","",,"new"
"270002700157",3,"U",506220,407020,"","",,"new"
"270002700157",4,"U",505650,407020,"","",,"new"
"270002700158",1,"U",520615,394256,"","",,"new"
"270002700158",2,"U",521472,394256,"","",,"new"
"270002700158",3,"U",521472,393400,"","",,"new"
"270002700158",4,"U",520615,393400,"","",,"new"
"270002700159",1,"U",498148,392818,"","",,"new"
"270002700159",2,"U",498761,392818,"","",,"new"
"270002700159",3,"U",498761,392344,"","",,"new"
"270002700159",4,"U",498148,392344,"","",,"new"
"270002700160",1,"U",501332,397054,"","",,"new"
"270002700160",2,"U",501614,397054,"","",,"new"
"270002700160",3,"U",501614,396901,"","",,"new"
"270002700160",4,"U",501332,396901,"","",,"new"
"270002700161",1,"U",513362,411843,"","",,"new"
